name,weekday,income
AbrahamBennet,Monday,231845241
AlbertRinger,Monday,392378038
AnnDull,Monday,39656842
AnneRinger,Monday,53386961
BurtGringlesby,Monday,118429815
CharleneLocksley,Monday,108450663
CherylCarson,Monday,77977657
DeanStraight,Monday,192550177
DirkStringer,Monday,759341454
HeatherMcBadden,Monday,293014643
InnesdelCastillo,Monday,260992756
JohnsonWhite,Monday,98560782
LiviaKarsen,Monday,132386625
MarjorieGreen,Monday,97539868
MeanderSmith,Monday,52160238
MichaelO'Leary,Monday,138096278
MichelDeFrance,Monday,479584921
MorningstarGreene,Monday,67381291
ReginaldBlotchet-Halls,Monday,103178571
SherylHunter,Monday,153301531
StearnsMacFeather,Monday,30778276
SylviaPanteley,Monday,96399427
AbrahamBennet,Tuesday,259058032
AlbertRinger,Tuesday,419021705
AnnDull,Tuesday,38097808
AnneRinger,Tuesday,55417862
BurtGringlesby,Tuesday,114454018
CharleneLocksley,Tuesday,102419646
CherylCarson,Tuesday,76905547
DeanStraight,Tuesday,183459092
DirkStringer,Tuesday,734550038
HeatherMcBadden,Tuesday,267891418
InnesdelCastillo,Tuesday,285473369
JohnsonWhite,Tuesday,100275590
LiviaKarsen,Tuesday,145696078
MarjorieGreen,Tuesday,102488971
MeanderSmith,Tuesday,63913954
MichaelO'Leary,Tuesday,125258271
MichelDeFrance,Tuesday,467420387
MorningstarGreene,Tuesday,67737441
ReginaldBlotchet-Halls,Tuesday,89298154
SherylHunter,Tuesday,163754751
StearnsMacFeather,Tuesday,31056506
SylviaPanteley,Tuesday,99289901
AbrahamBennet,Wednesday,214842815
AlbertRinger,Wednesday,403718425
AnnDull,Wednesday,35589006
AnneRinger,Wednesday,46106241
BurtGringlesby,Wednesday,119047498
CharleneLocksley,Wednesday,106731411
CherylCarson,Wednesday,66729907
DeanStraight,Wednesday,168092852
DirkStringer,Wednesday,642376642
HeatherMcBadden,Wednesday,249479672
InnesdelCastillo,Wednesday,245730068
JohnsonWhite,Wednesday,89036569
LiviaKarsen,Wednesday,156662691
MarjorieGreen,Wednesday,94949352
MeanderSmith,Wednesday,49655899
MichaelO'Leary,Wednesday,134525041
MichelDeFrance,Wednesday,439203901
MorningstarGreene,Wednesday,64838804
ReginaldBlotchet-Halls,Wednesday,80548671
SherylHunter,Wednesday,140290965
StearnsMacFeather,Wednesday,24953855
SylviaPanteley,Wednesday,85876351
AbrahamBennet,Thursday,226133921
AlbertRinger,Thursday,405676715
AnnDull,Thursday,36627442
AnneRinger,Thursday,55678731
BurtGringlesby,Thursday,103250742
CharleneLocksley,Thursday,102081558
CherylCarson,Thursday,70730736
DeanStraight,Thursday,182913508
DirkStringer,Thursday,693463721
HeatherMcBadden,Thursday,289587876
InnesdelCastillo,Thursday,247744631
JohnsonWhite,Thursday,91715665
LiviaKarsen,Thursday,168820566
MarjorieGreen,Thursday,90204716
MeanderSmith,Thursday,56688841
MichaelO'Leary,Thursday,130193803
MichelDeFrance,Thursday,481154817
MorningstarGreene,Thursday,61407062
ReginaldBlotchet-Halls,Thursday,89971578
SherylHunter,Thursday,148434253
StearnsMacFeather,Thursday,22585497
SylviaPanteley,Thursday,91590683
AbrahamBennet,Friday,233935361
AlbertRinger,Friday,357492149
AnnDull,Friday,37433122
AnneRinger,Friday,51753352
BurtGringlesby,Friday,109360163
CharleneLocksley,Friday,97761375
CherylCarson,Friday,80473505
DeanStraight,Friday,176048825
DirkStringer,Friday,672023524
HeatherMcBadden,Friday,245868794
InnesdelCastillo,Friday,231816498
JohnsonWhite,Friday,91757930
LiviaKarsen,Friday,172939429
MarjorieGreen,Friday,99954937
MeanderSmith,Friday,53551958
MichaelO'Leary,Friday,142326764
MichelDeFrance,Friday,473980679
MorningstarGreene,Friday,62929145
ReginaldBlotchet-Halls,Friday,96796982
SherylHunter,Friday,158669557
StearnsMacFeather,Friday,28022436
SylviaPanteley,Friday,91390801
AbrahamBennet,Saturday,219357051
AlbertRinger,Saturday,359055422
AnnDull,Saturday,37658782
AnneRinger,Saturday,48579238
BurtGringlesby,Saturday,108212069
CharleneLocksley,Saturday,100507642
CherylCarson,Saturday,69224918
DeanStraight,Saturday,176094744
DirkStringer,Saturday,724561952
HeatherMcBadden,Saturday,260891531
InnesdelCastillo,Saturday,245765313
JohnsonWhite,Saturday,91955960
LiviaKarsen,Saturday,142421335
MarjorieGreen,Saturday,95303143
MeanderSmith,Saturday,53094398
MichaelO'Leary,Saturday,131118669
MichelDeFrance,Saturday,480574641
MorningstarGreene,Saturday,64598715
ReginaldBlotchet-Halls,Saturday,92451664
SherylHunter,Saturday,143802265
StearnsMacFeather,Saturday,27623848
SylviaPanteley,Saturday,87097890
AbrahamBennet,Sunday,232328748
AlbertRinger,Sunday,362985487
AnnDull,Sunday,34138288
AnneRinger,Sunday,49050829
BurtGringlesby,Sunday,112782281
CharleneLocksley,Sunday,93745117
CherylCarson,Sunday,69553596
DeanStraight,Sunday,176873006
DirkStringer,Sunday,698820601
HeatherMcBadden,Sunday,266458385
InnesdelCastillo,Sunday,244679492
JohnsonWhite,Sunday,88933984
LiviaKarsen,Sunday,137975385
MarjorieGreen,Sunday,104815534
MeanderSmith,Sunday,56678280
MichaelO'Leary,Sunday,125981635
MichelDeFrance,Sunday,438321489
MorningstarGreene,Sunday,68473054
ReginaldBlotchet-Halls,Sunday,80496473
SherylHunter,Sunday,148514539
StearnsMacFeather,Sunday,27431435
SylviaPanteley,Sunday,95337213
